Obs,Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10,Sim11,Sim12,Sim13,Sim14,Sim15,Sim16,Sim17,Sim18,Sim19,Sim20
6.845012774,3.148312,7.8261895,2.5363307,5.775202,2.407737,4.6574855,5.6692276,2.723927,3.0679495,3.302847,1.8988104,2.4102588,4.173366,7.993268,4.7262464,2.3550034,1.8899873,2.606824,2.9380372,2.9059901
13.85189298,4.465968,8.744702,16.003044,5.9063826,2.54,4.684197,5.5978355,2.7797208,3.2605934,3.4854403,2.0144432,2.8387794,4.280023,7.9696984,4.7707734,2.4084656,1.9286004,2.7014985,3.0802865,3.1209784
33.71267775,11.144733,17.994612,42.000328,7.3547425,3.0416155,7.298524,8.1081915,3.5536363,4.039887,5.5800347,2.227502,6.2299795,5.325955,10.263768,6.6501136,2.898332,2.016849,3.0779574,3.7263622,4.4582376
64.29281308,16.829596,28.251194,37.678425,12.253952,3.8004575,14.045001,14.442223,5.932423,6.6003175,7.919031,2.6411154,11.133886,7.5782356,14.816724,12.773015,4.230303,2.668203,5.5099034,4.946438,6.431058
27.73095796,15.873986,28.519333,14.658937,16.610342,4.176282,17.476513,18.958195,8.1067915,9.10983,7.71272,3.1109235,12.057326,9.38187,18.10339,17.182524,5.968451,3.81479,7.7079415,5.775374,6.8710613
18.94275963,12.5564165,23.791754,5.110086,18.413708,4.14407,16.80729,19.828642,8.950238,10.615337,6.926028,3.4443126,9.220445,10.08626,18.750135,17.93758,6.726994,4.662061,8.455307,5.8661532,6.1609435
15.32888479,10.007362,19.594557,4.6626,18.24109,3.9578826,14.677466,18.607327,8.879515,11.244078,6.5261116,3.5683107,6.6397967,10.1057625,17.892275,16.524426,6.6561403,5.149787,8.354164,5.5349765,5.387139
12.9493947,8.146892,16.2828,4.5379486,16.987574,3.7850156,12.493663,16.605045,8.3869505,11.301911,6.3159156,3.561998,4.9521794,9.822675,16.474173,14.330782,6.1901426,5.381969,7.9219794,5.144116,4.7703447
11.17933355,6.831548,13.716945,4.4717374,15.271222,3.692902,10.667632,14.472483,7.7550287,11.020748,6.188717,3.512894,3.930868,9.431014,14.938857,12.087681,5.5942817,5.4412813,7.41608,4.8471704,4.3423066
9.78191686,5.8899736,11.727939,4.371968,13.497171,3.6566825,9.283202,12.514157,7.1475134,10.573559,6.1157327,3.5008905,3.3852625,9.032095,13.47983,10.149115,5.0284095,5.394303,6.9681,4.711359,4.0663614
8.626719059,5.1369576,10.023042,4.235413,11.7501955,3.5298357,8.124467,10.777618,6.5603867,10.008394,6.0337243,3.459013,2.997185,8.622129,12.156672,8.467599,4.5083213,5.269602,6.526895,4.4804783,3.7637973
7.834849599,4.5753655,8.628553,4.127867,10.120841,3.4108856,7.1603637,9.282302,6.01311,9.378469,5.9445586,3.3894844,2.7294807,8.21659,10.985342,7.049791,4.050858,5.093641,6.1061263,4.2329135,3.5160494
7.145457363,4.252842,7.556885,4.16699,8.688394,3.355634,6.407209,8.031576,5.5409184,8.733332,5.8634844,3.3240051,2.6458046,7.83864,9.963959,5.913598,3.6797473,4.891701,5.7355647,4.0581865,3.383786
6.735548466,4.156099,6.828053,4.211298,7.544253,3.396276,5.9270854,7.0377626,5.2087464,8.125517,5.8122945,3.318897,2.8553162,7.526195,9.088986,5.1093097,3.4406238,4.69207,5.4593534,4.061002,3.4111998
6.316323458,4.0178676,6.2175536,4.034995,6.660467,3.4225895,5.589178,6.2607226,4.9753375,7.57748,5.7727556,3.35333,3.0089524,7.2612376,8.358518,4.560091,3.2974257,4.5035434,5.2481637,4.0962768,3.414644
5.738724558,3.8069313,5.6344805,3.8803442,5.944235,3.4187098,5.2583785,5.627904,4.7701073,7.083814,5.7313275,3.3951395,2.9618802,7.007693,7.7224402,4.133746,3.1882386,4.3257494,5.06767,4.08778,3.3511813
5.328815661,3.6500108,5.1359086,3.8244107,5.347339,3.4058816,4.9440413,5.1004286,4.5839424,6.6324763,5.687838,3.43147,2.9368076,6.761567,7.1526995,3.7801256,3.101132,4.1597033,4.904352,4.054315,3.2943494
5.17975788,3.5262187,4.7097263,3.7552986,4.8474507,3.3876648,4.660876,4.658431,4.4189534,6.2175765,5.639666,3.4591913,2.9481826,6.5255904,6.645828,3.4849007,3.034493,4.006383,4.754774,4.0093684,3.2460804
4.741900649,3.3973203,4.3038483,3.662161,4.418306,3.3464122,4.393571,4.2804785,4.2631226,5.83257,5.583123,3.4722366,2.9474878,6.2950706,6.192462,3.2265813,2.9788926,3.8636458,4.6120853,3.9380658,3.1842058
4.434468977,3.2627416,3.890721,3.564222,4.0266547,3.2743118,4.118815,3.9419372,4.0909777,5.464486,5.511431,3.4544141,2.911804,6.059299,5.779047,2.97561,2.919649,3.7232265,4.461172,3.8126552,3.1007612
4.238830639,3.1502938,3.5349243,3.4780192,3.674769,3.2056968,3.8599193,3.6419077,3.912646,5.114966,5.433069,3.4152946,2.8649492,5.8259134,5.4025593,2.7433214,2.8584826,3.5856607,4.3115005,3.6788743,3.0267034
4.248146751,3.0866725,3.2633626,3.441716,3.371932,3.1581264,3.636039,3.3826427,3.747758,4.788875,5.355985,3.370173,2.8406832,5.6049395,5.0628476,2.5437694,2.8032486,3.4554472,4.1745863,3.5685265,2.9796429
5.263602882,3.1628716,3.1381278,3.5754855,3.143725,3.15486,3.4896166,3.1758091,3.63887,4.4945974,5.292325,3.3424091,2.9643922,5.4159017,4.7659025,2.4075718,2.7775853,3.342949,4.067082,3.5277565,3.0073283
10.71352799,3.516258,3.2229576,3.9711068,3.0486586,3.2032366,3.5018942,3.0575285,3.6296086,4.2481947,5.2551317,3.3410144,3.4231832,5.285996,4.6753106,2.4101298,2.8177855,3.2529197,3.9946427,3.570214,3.1696222
6.605122908,4.081814,3.5223708,7.431776,3.1847537,3.319317,3.766879,3.0823324,3.7607803,4.0840797,5.2565455,3.3798187,4.194328,5.25009,5.187434,2.6686752,2.9599957,3.1896338,3.9728296,3.726081,3.4726164
11.83146134,4.743288,4.4379697,12.865059,3.554915,3.4899364,4.2171893,3.2439845,4.0025845,4.0136304,5.2907753,3.4652443,4.995233,5.300901,6.114223,3.1657836,3.1876073,3.1525238,4.0064216,3.9725587,3.8411949
11.27249467,5.3510394,6.5225253,11.263599,4.115912,3.696515,4.7799306,3.5302656,4.3253236,4.0296273,5.3485255,3.6022384,5.7063355,5.4388866,7.2903633,3.8369398,3.4833467,3.1394813,4.0869336,4.2999043,4.2144656
7.937326824,5.2153625,6.636684,5.9556155,4.6158423,3.7659254,5.036409,3.7624433,4.539891,4.0899987,5.3631015,3.7405276,5.5177126,5.552289,8.018537,4.3462253,3.7021618,3.1331093,4.1602426,4.4851956,4.23422
6.344271792,4.5497413,5.698108,3.7076292,4.767781,3.6741948,4.784113,3.764738,4.5159645,4.0889893,5.304815,3.792188,4.7386246,5.5045547,8.018086,4.377917,3.7416816,3.109965,4.149263,4.3767366,3.9710734
5.990259563,4.1120977,4.964759,3.6312754,4.6940236,3.6397126,4.4179087,3.6483383,4.3633447,4.0420294,5.249576,3.7938714,4.1622868,5.3702555,7.6266155,4.174543,3.6749864,3.0738373,4.1037927,4.2468824,3.793692
5.915730672,4.06055,4.6237907,4.611013,4.6447515,3.714897,4.2601604,3.5759904,4.2361765,4.027456,5.2537694,3.8270228,4.046546,5.258897,7.176411,4.065688,3.6126652,3.043673,4.10055,4.290827,3.8105497
8.337919609,4.1905365,4.509114,5.8768406,4.706856,3.80741,4.332771,3.5998576,4.208038,4.055974,5.2889533,3.8932216,4.302942,5.212875,7.00584,4.127759,3.6158874,3.027349,4.1332684,4.421819,3.9195654
6.195214011,4.0684175,4.300745,4.2849913,4.8060665,3.863372,4.3993726,3.6511056,4.1999784,4.117896,5.313004,3.967986,4.3081875,5.1775227,6.8603997,4.231002,3.6338184,3.0196574,4.1759105,4.5207314,3.9317522
